year_month,location,groundwater_level
2016-01,ANDHRA PRADESH,5.518649518
2016-02,ANDHRA PRADESH,5.518649518
2016-03,ANDHRA PRADESH,5.518649518
2016-04,ANDHRA PRADESH,5.518649518
2016-05,ANDHRA PRADESH,8.8032
2016-06,ANDHRA PRADESH,8.8032
2016-07,ANDHRA PRADESH,8.8032
2016-08,ANDHRA PRADESH,6.29847512
2016-09,ANDHRA PRADESH,6.29847512
2016-10,ANDHRA PRADESH,6.29847512
2016-11,ANDHRA PRADESH,5.717311475
2016-12,ANDHRA PRADESH,5.717311475
2017-01,ANDHRA PRADESH,6.929185868
2017-02,ANDHRA PRADESH,6.929185868
2017-03,ANDHRA PRADESH,6.929185868
2017-04,ANDHRA PRADESH,6.929185868
2017-05,ANDHRA PRADESH,8.841768489
2017-06,ANDHRA PRADESH,8.841768489
2017-07,ANDHRA PRADESH,8.841768489
2017-08,ANDHRA PRADESH,8.654902256
2017-09,ANDHRA PRADESH,8.654902256
2017-10,ANDHRA PRADESH,8.654902256
2017-11,ANDHRA PRADESH,6.420995608
2017-12,ANDHRA PRADESH,6.420995608
2018-01,ANDHRA PRADESH,6.12086785
2018-02,ANDHRA PRADESH,7.247206946
2018-03,ANDHRA PRADESH,7.247206946
2018-04,ANDHRA PRADESH,7.8
2018-05,ANDHRA PRADESH,7.8
2018-06,ANDHRA PRADESH,9.398375185
2018-07,ANDHRA PRADESH,4.33875
2018-08,ANDHRA PRADESH,4.33875
2018-09,ANDHRA PRADESH,7.64327381
2018-10,ANDHRA PRADESH,7.64327381
2018-11,ANDHRA PRADESH,4.0875
2018-12,ANDHRA PRADESH,6.962653352
2019-01,ANDHRA PRADESH,4.863117409
2019-02,ANDHRA PRADESH,9.199768452
2019-03,ANDHRA PRADESH,0.65
2019-04,ANDHRA PRADESH,3.976666667
2019-05,ANDHRA PRADESH,3.976666667
2019-06,ANDHRA PRADESH,11.2585842
2019-07,ANDHRA PRADESH,3.753333333
2019-08,ANDHRA PRADESH,3.753333333
2019-09,ANDHRA PRADESH,9.833940741
2019-10,ANDHRA PRADESH,13.05
2019-11,ANDHRA PRADESH,5.7
2019-12,ANDHRA PRADESH,6.450240602
2020-01,ANDHRA PRADESH,6.450240602
2020-02,ANDHRA PRADESH,22.21875
2020-03,ANDHRA PRADESH,7.376739447
2020-04,ANDHRA PRADESH,7.376739447
2020-05,ANDHRA PRADESH,7.376739447
2020-06,ANDHRA PRADESH,7.376739447
2020-07,ANDHRA PRADESH,7.376739447
2020-08,ANDHRA PRADESH,7.376739447
2020-09,ANDHRA PRADESH,7.376739447
2020-10,ANDHRA PRADESH,7.162727273
2020-11,ANDHRA PRADESH,7.162727273
2020-12,ANDHRA PRADESH,7.162727273
2021-01,ANDHRA PRADESH,4.56590301
2021-02,ANDHRA PRADESH,4.56590301
2021-03,ANDHRA PRADESH,5.313589365
2021-04,ANDHRA PRADESH,5.313589365
2021-05,ANDHRA PRADESH,5.313589365
2021-06,ANDHRA PRADESH,5.313589365
2021-07,ANDHRA PRADESH,5.313589365
2021-08,ANDHRA PRADESH,5.313589365
2021-09,ANDHRA PRADESH,5.313589365
2021-10,ANDHRA PRADESH,6.180978916
2021-11,ANDHRA PRADESH,6.180978916
2021-12,ANDHRA PRADESH,1.5
2022-01,ANDHRA PRADESH,4.98065625
2022-02,ANDHRA PRADESH,4.98065625
2022-03,ANDHRA PRADESH,5.171092814
2022-04,ANDHRA PRADESH,2.6
2022-05,ANDHRA PRADESH,2.6
2022-06,ANDHRA PRADESH,3.2
2022-07,ANDHRA PRADESH,3.2
2016-01,TELANGANA,12.48510917
2016-02,TELANGANA,12.48510917
2016-03,TELANGANA,12.48510917
2016-04,TELANGANA,12.48510917
2016-05,TELANGANA,13.58145414
2016-06,TELANGANA,13.58145414
2016-07,TELANGANA,13.58145414
2016-08,TELANGANA,10.94948025
2016-09,TELANGANA,10.94948025
2016-10,TELANGANA,10.94948025
2016-11,TELANGANA,7.567373737
2016-12,TELANGANA,7.567373737
2017-01,TELANGANA,9.08476378
2017-02,TELANGANA,9.08476378
2017-03,TELANGANA,9.08476378
2017-04,TELANGANA,9.08476378
2017-05,TELANGANA,12.54655378
2017-06,TELANGANA,12.54655378
2017-07,TELANGANA,12.54655378
2017-08,TELANGANA,9.602406639
2017-09,TELANGANA,9.602406639
2017-10,TELANGANA,9.602406639
2017-11,TELANGANA,7.768709677
2017-12,TELANGANA,7.768709677
2018-01,TELANGANA,9.055167653
2018-02,TELANGANA,9.055167653
2018-03,TELANGANA,9.055167653
2018-04,TELANGANA,9.055167653
2018-05,TELANGANA,9.055167653
2018-06,TELANGANA,11.87824017
2018-07,TELANGANA,11.87824017
2018-08,TELANGANA,0.45
2018-09,TELANGANA,9.808951782
2018-10,TELANGANA,9.808951782
2018-11,TELANGANA,9.808951782
2018-12,TELANGANA,9.429186747
2019-01,TELANGANA,5.437291667
2019-02,TELANGANA,11.73131048
2019-03,TELANGANA,1.44
2019-04,TELANGANA,7.75
2019-05,TELANGANA,7.75
2019-06,TELANGANA,14.28764706
2019-07,TELANGANA,14.28764706
2019-08,TELANGANA,14.28764706
2019-09,TELANGANA,10.63666667
2019-10,TELANGANA,10.63666667
2019-11,TELANGANA,10.63666667
2019-12,TELANGANA,7.15402834
2020-01,TELANGANA,7.15402834
2020-02,TELANGANA,6.276075534
2020-03,TELANGANA,6.276075534
2020-04,TELANGANA,6.276075534
2020-05,TELANGANA,6.276075534
2020-06,TELANGANA,6.276075534
2020-07,TELANGANA,6.276075534
2020-08,TELANGANA,6.276075534
2020-09,TELANGANA,8.178658228
2020-10,TELANGANA,8.178658228
2020-11,TELANGANA,8.178658228
2020-12,TELANGANA,7.38465721
2021-01,TELANGANA,7.38465721
2021-02,TELANGANA,5.504535398
2021-03,TELANGANA,5.504535398
2021-04,TELANGANA,5.504535398
2021-05,TELANGANA,5.504535398
2021-06,TELANGANA,5.504535398
2021-07,TELANGANA,5.504535398
2021-08,TELANGANA,5.504535398
