year_month,location,rainfall_level
2016-01,GOA,0.035483871
2016-02,GOA,0.003571429
2016-03,GOA,0.006451613
2016-04,GOA,0.26
2016-05,GOA,2.841935484
2016-06,GOA,29.92666667
2016-07,GOA,32.82903226
2016-08,GOA,18.49677419
2016-09,GOA,9.5
2016-10,GOA,4.125806452
2016-11,GOA,1.256666667
2016-12,GOA,0.270967742
2017-01,GOA,0.035483871
2017-02,GOA,0.003571429
2017-03,GOA,0.006451613
2017-04,GOA,0.26
2017-05,GOA,2.841935484
2017-06,GOA,29.92666667
2017-07,GOA,32.82903226
2017-08,GOA,18.49677419
2017-09,GOA,9.5
2017-10,GOA,4.125806452
2017-11,GOA,1.256666667
2017-12,GOA,0.270967742
2018-01,GOA,8.807352941
2018-02,GOA,1.752631579
2018-03,GOA,10.42765625
2018-04,GOA,7.994698795
2018-05,GOA,76.88107527
2018-06,GOA,0.285555556
2018-07,GOA,18.24193548
2018-08,GOA,13.78301075
2018-09,GOA,17.56211111
2018-10,GOA,12.69387097
2018-11,GOA,0.532840909
2018-12,GOA,18.62376623
2019-01,GOA,8.807352941
2019-02,GOA,1.752631579
2019-03,GOA,3.11078125
2019-04,GOA,27.10674699
2019-05,GOA,31.08978495
2019-06,GOA,2.104777778
2019-07,GOA,27.06271605
2019-08,GOA,51.97569892
2019-09,GOA,22.40822222
2019-10,GOA,62.8872043
2019-11,GOA,18.60068182
2019-12,GOA,111.0032468
2020-01,GOA,8.801176471
2020-02,GOA,1.722413793
2020-03,GOA,3.04453125
2020-04,GOA,120.2107229
2020-05,GOA,718.6307527
2020-06,GOA,45.82177778
2020-07,GOA,26.12236559
2020-08,GOA,52.57774194
2020-09,GOA,70.60188889
2020-10,GOA,108.6750538
2020-11,GOA,30.55909091
2020-12,GOA,13.69337662
2021-01,GOA,77.38926471
2021-02,GOA,344.0780702
2021-03,GOA,2.61234375
2021-04,GOA,1256.400602
2021-05,GOA,779.5666667
2021-06,GOA,27.44155556
2021-07,GOA,16.76913978
2021-08,GOA,2.635376344
2021-09,GOA,27.27277778
2021-10,GOA,45.50010753
2021-11,GOA,138.4073864
2021-12,GOA,210.7967532
2022-01,GOA,5.267794118
2022-02,GOA,1.751403509
2022-03,GOA,3.07015625
2022-04,GOA,148.3236145
2022-05,GOA,27.04817204
2022-06,GOA,16.51102273
2022-07,GOA,368.0990909
2016-01,ANDHRA PRADESH,35.39956989
2016-02,ANDHRA PRADESH,32.51929412
2016-03,ANDHRA PRADESH,22.09537634
2016-04,ANDHRA PRADESH,31.56411111
2016-05,ANDHRA PRADESH,14.45602151
2016-06,ANDHRA PRADESH,24.82177778
2016-07,ANDHRA PRADESH,6.153010753
2016-08,ANDHRA PRADESH,10.86086022
2016-09,ANDHRA PRADESH,4.242222222
2016-10,ANDHRA PRADESH,25.38634409
2016-11,ANDHRA PRADESH,30.089
2016-12,ANDHRA PRADESH,1.984516129
2017-01,ANDHRA PRADESH,22.60784946
2017-02,ANDHRA PRADESH,32.41547619
2017-03,ANDHRA PRADESH,26.07548387
2017-04,ANDHRA PRADESH,18.933
2017-05,ANDHRA PRADESH,15.68645161
2017-06,ANDHRA PRADESH,13.50622222
2017-07,ANDHRA PRADESH,3.48311828
2017-08,ANDHRA PRADESH,10.02548387
2017-09,ANDHRA PRADESH,1.702666667
2017-10,ANDHRA PRADESH,2.585376344
2017-11,ANDHRA PRADESH,19.35611111
2017-12,ANDHRA PRADESH,32.47419355
2018-01,ANDHRA PRADESH,33.19892473
2018-02,ANDHRA PRADESH,17.12595238
2018-03,ANDHRA PRADESH,160.4190323
2018-04,ANDHRA PRADESH,28.42322222
2018-05,ANDHRA PRADESH,1.101397849
2018-06,ANDHRA PRADESH,8.501222222
2018-07,ANDHRA PRADESH,7.486129032
2018-08,ANDHRA PRADESH,12.06322581
2018-09,ANDHRA PRADESH,6.341333333
2018-10,ANDHRA PRADESH,20.38043011
2018-11,ANDHRA PRADESH,11.84377778
2018-12,ANDHRA PRADESH,50.51139785
2019-01,ANDHRA PRADESH,89.9972043
2019-02,ANDHRA PRADESH,29.39821429
2019-03,ANDHRA PRADESH,6.641182796
2019-04,ANDHRA PRADESH,10.55011111
2019-05,ANDHRA PRADESH,7.186989247
2019-06,ANDHRA PRADESH,11.11244444
2019-07,ANDHRA PRADESH,2.304516129
2019-08,ANDHRA PRADESH,5.837204301
2019-09,ANDHRA PRADESH,153.2092222
2019-10,ANDHRA PRADESH,27.2488172
2019-11,ANDHRA PRADESH,61.70233333
2019-12,ANDHRA PRADESH,1581.950108
2020-01,ANDHRA PRADESH,7944.450538
2020-02,ANDHRA PRADESH,70.69094118
2020-03,ANDHRA PRADESH,50.85
2020-04,ANDHRA PRADESH,541.9664444
2020-05,ANDHRA PRADESH,1521.072258
2020-06,ANDHRA PRADESH,13.02911111
2020-07,ANDHRA PRADESH,64.20827957
2020-08,ANDHRA PRADESH,33.45731183
2020-09,ANDHRA PRADESH,32.60333333
2020-10,ANDHRA PRADESH,21.73860215
2020-11,ANDHRA PRADESH,84.16611111
2020-12,ANDHRA PRADESH,10.17387097
2021-01,ANDHRA PRADESH,710.5553763
2021-02,ANDHRA PRADESH,309.4664286
2021-03,ANDHRA PRADESH,447.6756989
2021-04,ANDHRA PRADESH,276.4408889
2021-05,ANDHRA PRADESH,686.1298925
2021-06,ANDHRA PRADESH,10.72477778
2021-07,ANDHRA PRADESH,26.03752688
2021-08,ANDHRA PRADESH,0.078387097
2021-09,ANDHRA PRADESH,8.616777778
2021-10,ANDHRA PRADESH,11.29344086
2021-11,ANDHRA PRADESH,106.9282222
2021-12,ANDHRA PRADESH,0.671397849
2022-01,ANDHRA PRADESH,261.576129
2022-02,ANDHRA PRADESH,5.036547619
2022-03,ANDHRA PRADESH,125.4465591
2022-04,ANDHRA PRADESH,142.7171111
2022-05,ANDHRA PRADESH,50.96709677
2022-06,ANDHRA PRADESH,32.92613636
2022-07,ANDHRA PRADESH,295.929697
2016-01,TAMILNADU,3.94655914
2016-02,TAMILNADU,32.202
2016-03,TAMILNADU,21.30483871
2016-04,TAMILNADU,26.64422222
2016-05,TAMILNADU,18.29397849
2016-06,TAMILNADU,8.337444444
2016-07,TAMILNADU,9.01172043
2016-08,TAMILNADU,12.42473118
2016-09,TAMILNADU,16.85033333
2016-10,TAMILNADU,16.59408602
2016-11,TAMILNADU,25.23344444
2016-12,TAMILNADU,6.354408602
2017-01,TAMILNADU,98.1488172
2017-02,TAMILNADU,33.1572619
2017-03,TAMILNADU,34.58451613
2017-04,TAMILNADU,28.69877778
2017-05,TAMILNADU,8.948709677
2017-06,TAMILNADU,2.728222222
2017-07,TAMILNADU,19.51912088
2017-08,TAMILNADU,16.73827957
2017-09,TAMILNADU,19.99111111
2017-10,TAMILNADU,1.263655914
2017-11,TAMILNADU,1.370888889
2017-12,TAMILNADU,11.06043011
2018-01,TAMILNADU,23.90376344
2018-02,TAMILNADU,45.1952381
2018-03,TAMILNADU,29.36387097
2018-04,TAMILNADU,4.713
2018-05,TAMILNADU,44.19989247
2018-06,TAMILNADU,10.41944444
2018-07,TAMILNADU,6.521182796
2018-08,TAMILNADU,3.330752688
2018-09,TAMILNADU,11.02
2018-10,TAMILNADU,7.290752688
2018-11,TAMILNADU,13.163
2018-12,TAMILNADU,23.38935484
2019-01,TAMILNADU,21.49548387
2019-02,TAMILNADU,57.60035714
2019-03,TAMILNADU,31.71634409
2019-04,TAMILNADU,19.04066667
2019-05,TAMILNADU,10.52354839
2019-06,TAMILNADU,19.23433333
2019-07,TAMILNADU,5.986021505
2019-08,TAMILNADU,28.97387097
2019-09,TAMILNADU,675.741
2019-10,TAMILNADU,196.9069892
2019-11,TAMILNADU,295.34
