year_month,GOA,ANDHRA PRADESH,TAMILNADU,GUJARAT,KARNATAKA,WEST BENGAL,ODISHA,CHHATTISGARH,TELANGANA,KERALA,MAHARASHTRA,MADHYA PRADESH,GW Level ANDHRA PRADESH(mbgl),GW Level Telangana(mbgl),GW Level Tamilnadu(mbgl),GW Level MADHYA PRADESH(mbgl),GW Level Gujarat(mbgl),GW Level Goa(mbgl),GW Level Karnataka(mbgl),GW Level Maharashtra(mbgl),GW Level Odisha(mbgl),GW Level KERALA(mbgl),GW Level Chhattisgarh(mbgl),GW Level WEST BENGAL(mbgl)
2016-01,0.035483871,35.39956989,3.94655914,-27.89418605,-21.48268817,6.033333333,-29.49591398,-15.65989247,-0.372903226,-26.21473118,0.607311828,-13.78967742,5.518649518,12.48510917,24.66571429,9.979947566,16.89171271,4.952333333,6.178857143,8.591548757,3.93005137,6.421257276,7.389488636,8.149766355
2016-02,0.003571429,-32.51929412,-32.202,-22.96135135,-28.31705882,44.44882353,0.135176471,-27.20435294,-15.58235294,-31.67705882,44.11152941,-29.11270588,5.518649518,12.48510917,24.66571429,9.979947566,16.89171271,4.952333333,6.178857143,8.591548757,3.93005137,6.421257276,7.389488636,8.149766355
2016-03,0.006451613,-22.09537634,-21.30483871,-20.48512821,-20.5911828,-15.49516129,17.69408602,39.93064516,49.72397849,-18.75263736,58.15268817,27.08623656,5.518649518,12.48510917,24.66571429,9.979947566,16.89171271,4.952333333,6.178857143,5.5,3.93005137,6.421257276,7.389488636,8.149766355
2016-04,0.26,-31.56411111,-26.64422222,-25.91037037,-28.64422222,-30.40511111,-21.01111111,-23.41022222,11.91611111,-26.52181818,-14.82455556,-25.55922222,5.518649518,12.48510917,24.66571429,9.979947566,16.89171271,4.952333333,6.178857143,5.5,5.350925427,7.496216216,7.389488636,7.121496437
2016-05,2.841935484,14.45602151,18.29397849,-29.76554348,-8.158387097,10.24795699,4.45344086,-6.726021505,89.45043011,-20.9988172,42.41645161,32.4811828,8.8032,13.58145414,6.697655311,11.60680529,16.53511194,6.032461538,8.219461124,9.686396011,8.01,7.496216216,8.856401099,7.121496437
2016-06,29.92666667,24.82177778,8.337444444,-28.38222222,4.287333333,8.946444444,-11.83388889,-7.869444444,20.30677778,-16.70955556,2.925777778,-8.776888889,8.8032,13.58145414,6.697655311,11.60680529,16.53511194,6.032461538,8.219461124,9.686396011,8.01,7.496216216,8.856401099,7.121496437
2016-07,32.82903226,-6.153010753,9.01172043,-12.70096774,-6.990860215,17.13193548,-12.49483871,-1.240752688,1.289247312,-15.52666667,27.68473118,23.70268817,8.8032,13.58145414,6.697655311,11.60680529,16.53511194,6.032461538,8.219461124,9.686396011,8.01,7.496216216,8.856401099,7.121496437
2016-08,18.49677419,-10.86086022,-12.42473118,1.132580645,-15.02064516,8.466451613,-11.13021505,-5.497311828,-10.42666667,-18.85236559,5.289569892,13.82612903,6.29847512,10.94948025,8.045667311,4.332858209,12.71378897,3.279473684,6.642611684,4.892878255,2.38069128,5.792161383,3.668714479,3.156619718
2016-09,9.5,4.242222222,-16.85033333,-5.266,-10.09044444,12.10933333,3.525777778,19.73566667,35.05077778,-25.09266667,20.55555556,0.130555556,6.29847512,10.94948025,8.045667311,4.332858209,12.71378897,3.279473684,6.642611684,4.892878255,2.38069128,5.792161383,3.668714479,3.156619718
2016-10,4.125806452,-25.38634409,-16.59408602,50.49075269,-27.04225806,-6.390752688,-17.09430108,-12.21935484,-7.438817204,-25.45419355,-11.40827957,-14.02075269,6.29847512,10.94948025,8.045667311,4.332858209,12.71378897,3.279473684,6.642611684,1.4,2.38069128,5.792161383,3.668714479,3.156619718
